question,answer,question keywords,answer keywords,combined keywords
Where would you look to find a bezoar?,In the stomach of a goat,"['bezoar', 'where', 'find', 'look', 'would']","['goat', 'stomach']","['bezoar', 'where', 'find', 'look', 'would', 'goat', 'stomach']"
How long did the longest Quidditch game last?,Six months,"['last', 'game', 'how', 'long', 'quidditch']","['month', 'six']","['last', 'game', 'how', 'long', 'quidditch', 'month', 'six']"
What did Fred and George Weasley use to spy on Order of the Phoenix meetings?,Extendable Ears,"['george', 'phoenix', 'meeting', 'weasley', 'spy', 'order', 'use', 'fred', 'what']","['ear', 'extendable']","['george', 'phoenix', 'meeting', 'weasley', 'spy', 'order', 'use', 'fred', 'what', 'ear', 'extendable']"
"In the Hall of Prophecy, there are rows and rows of glowing orbs. Which row contains the prophecy about Harry and Voldemort?",97,"['prophecy', 'which', 'harry', 'orbs', 'glow', 'contain', 'voldemort', 'row', 'hall']",[],"['prophecy', 'which', 'harry', 'orbs', 'glow', 'contain', 'voldemort', 'row', 'hall']"
Lily Potter once gave Professor Slughorn a bowl with a lily that turned into a goldfish. What was the goldfish’s name?,Francis,"['give', 'lily', 'potter', 'turn', 'professor', 'bowl', 'slughorn', 'what', 'goldfish', 'name']",['francis'],"['give', 'lily', 'potter', 'turn', 'professor', 'bowl', 'slughorn', 'what', 'goldfish', 'name', 'francis']"
What is the name of the ghost who haunts the Hogwarts bathroom?,Moaning Myrtle,"['bathroom', 'haunt', 'who', 'ghost', 'what', 'name', 'hogwarts']","['moan', 'myrtle']","['bathroom', 'haunt', 'who', 'ghost', 'what', 'name', 'hogwarts', 'moan', 'myrtle']"
What is the name of the librarian at Hogwarts?,Madam Pince,"['hogwarts', 'librarian', 'name', 'what']","['pince', 'madam']","['hogwarts', 'librarian', 'name', 'what', 'pince', 'madam']"
What are the four Hogwarts houses?,"Gryffindor, Ravenclaw, Slytherin, and Hufflepuff.","['four', 'hogwarts', 'house', 'what']","['ravenclaw', 'slytherin', 'gryffindor', 'hufflepuff']","['four', 'hogwarts', 'house', 'what', 'ravenclaw', 'slytherin', 'gryffindor', 'hufflepuff']"
How long was You-Know-Who in power?,11 Years,"['how', 'power', 'long', 'youknowwho']",['year'],"['how', 'power', 'long', 'youknowwho', 'year']"
What magical plant did Luna Lovegood have growing at home?,Dirigible Plums,"['luna', 'plant', 'lovegood', 'grow', 'magical', 'home', 'what']","['plum', 'dirigible']","['luna', 'plant', 'lovegood', 'grow', 'magical', 'home', 'what', 'plum', 'dirigible']"
How many teams are in the British and Irish Quidditch League?,Thirteen,"['team', 'many', 'league', 'how', 'british', 'quidditch', 'irish']",['thirteen'],"['team', 'many', 'league', 'how', 'british', 'quidditch', 'irish', 'thirteen']"
"What do the abbreviations for the two main wizarding exams, O.W.L.s and N.E.W.T.s, stand for?",Ordinary Wizarding Level and Nastily Exhausting Wizarding Test.,"['abbreviations', 'main', 'stand', 'wizarding', 'owls', 'exams', 'what', 'newt', 'two']","['nastily', 'exhaust', 'ordinary', 'wizarding', 'level', 'test']","['abbreviations', 'main', 'stand', 'wizarding', 'owls', 'exams', 'what', 'newt', 'two', 'nastily', 'exhaust', 'ordinary', 'wizarding', 'level', 'test']"
What did the Dursleys give Harry for Christmas in his first year at Hogwarts?,Fifty Pence,"['give', 'harry', 'hogwarts', 'dursleys', 'first', 'christmas', 'what', 'year']","['fifty', 'penny']","['give', 'harry', 'hogwarts', 'dursleys', 'first', 'christmas', 'what', 'year', 'fifty', 'penny']"
The Diricawl is actually thought to be which extinct Muggle bird?,The Dodo.,"['which', 'diricawl', 'muggle', 'extinct', 'bird', 'actually', 'think']",['dodo'],"['which', 'diricawl', 'muggle', 'extinct', 'bird', 'actually', 'think', 'dodo']"
"In Book 3, what is Neville Longbottom's greatest fear, revealed upon facing a boggart in Lupin's class?",Professor Snape.,"['boggart', 'neville', 'book', 'upon', 'fear', 'face', 'lupins', 'great', 'longbottoms', 'reveal', 'what', 'class']","['professor', 'snape']","['boggart', 'neville', 'book', 'upon', 'fear', 'face', 'lupins', 'great', 'longbottoms', 'reveal', 'what', 'class', 'professor', 'snape']"
Who was the House-Eld that once served Barty Crouch Senior?,Winky,"['senior', 'who', 'serve', 'crouch', 'houseeld', 'barty']",['winky'],"['senior', 'who', 'serve', 'crouch', 'houseeld', 'barty', 'winky']"
Voldemort stole Helga Hufflepuff's cup from an old woman named Hepzibah Smith. What was the name of her house-elf?,Hokey.,"['helga', 'woman', 'hepzibah', 'smith', 'old', 'houseelf', 'name', 'hufflepuffs', 'what', 'steal', 'cup', 'voldemort']",['hokey'],"['helga', 'woman', 'hepzibah', 'smith', 'old', 'houseelf', 'name', 'hufflepuffs', 'what', 'steal', 'cup', 'voldemort', 'hokey']"
Who is Stan Shunpike?,The conductor of the Knight Bus,"['who', 'shunpike', 'stan']","['knight', 'conductor', 'bus']","['who', 'shunpike', 'stan', 'knight', 'conductor', 'bus']"
Nearly Headless Nick is a patron house of which House?,Gryffindor,"['which', 'patron', 'house', 'nick', 'headless', 'nearly']",['gryffindor'],"['which', 'patron', 'house', 'nick', 'headless', 'nearly', 'gryffindor']"
Where was Harry Potter born?,Godric's Hollow,"['potter', 'where', 'harry', 'bear']","['hollow', 'godrics']","['potter', 'where', 'harry', 'bear', 'hollow', 'godrics']"
What's in a forgetfulness potion?,Lethe Water,"['potion', 'whats', 'forgetfulness']","['water', 'lethe']","['potion', 'whats', 'forgetfulness', 'water', 'lethe']"
What is the name of the magical map that shows the entire layout of Hogwarts?,Marauder's Map,"['entire', 'layout', 'map', 'magical', 'show', 'what', 'name', 'hogwarts']","['map', 'marauder']","['entire', 'layout', 'map', 'magical', 'show', 'what', 'name', 'hogwarts', 'map', 'marauder']"
How many times did Wendelin the Weird allow herself to be caught by witch-hunters?,Forty-Seven,"['many', 'caught', 'allow', 'weird', 'how', 'wendelin', 'time', 'witchhunters']",['fortyseven'],"['many', 'caught', 'allow', 'weird', 'how', 'wendelin', 'time', 'witchhunters', 'fortyseven']"
What is the name of the three-headed dog guarding the trapdoor in Harry Potter and the Sorcerer's Stone?,Fluffy,"['harry', 'threeheaded', 'trapdoor', 'potter', 'sorcerer', 'guard', 'dog', 'what', 'stone', 'name']",['fluffy'],"['harry', 'threeheaded', 'trapdoor', 'potter', 'sorcerer', 'guard', 'dog', 'what', 'stone', 'name', 'fluffy']"
What item in the Headmaster's Office allows you to review bottled up memories?,The Pensieve,"['allow', 'office', 'review', 'memory', 'bottle', 'item', 'headmaster', 'what']",['pensieve'],"['allow', 'office', 'review', 'memory', 'bottle', 'item', 'headmaster', 'what', 'pensieve']"
What does the Drought Charm cause?,Dryness,"['cause', 'drought', 'charm', 'what']",['dryness'],"['cause', 'drought', 'charm', 'what', 'dryness']"
What magical artefact creates the Elixir of Life?,Philosopher's Stone,"['life', 'create', 'artefact', 'magical', 'elixir', 'what']","['stone', 'philosopher']","['life', 'create', 'artefact', 'magical', 'elixir', 'what', 'stone', 'philosopher']"
Who is in the first memory Professor Dumbledore shows Harry in the Pensieve?,"Bob Ogden, an employee of the Department of Magical Law Enforcement","['harry', 'who', 'professor', 'first', 'memory', 'pensieve', 'show', 'dumbledore']","['law', 'bob', 'magical', 'ogden', 'employee', 'enforcement', 'department']","['harry', 'who', 'professor', 'first', 'memory', 'pensieve', 'show', 'dumbledore', 'law', 'bob', 'magical', 'ogden', 'employee', 'enforcement', 'department']"
Which of the following spells is not used in Transfiguration Class?,Confundo,"['spell', 'which', 'transfiguration', 'follow', 'use', 'class']",['confundo'],"['spell', 'which', 'transfiguration', 'follow', 'use', 'class', 'confundo']"
Where did the Goblin Rebellion of 1612 take place?,Hogsmeade Village,"['place', 'where', 'goblin', 'rebellion', 'take']","['village', 'hogsmeade']","['place', 'where', 'goblin', 'rebellion', 'take', 'village', 'hogsmeade']"
In which of these scenarios would you use the impediment jinx?,To slow a rushing opponent.,"['which', 'jinx', 'impediment', 'use', 'scenario', 'would']","['slow', 'opponent', 'rushing']","['which', 'jinx', 'impediment', 'use', 'scenario', 'would', 'slow', 'opponent', 'rushing']"
What is Ron's favorite Quidditch team?,Chudley Cannons,"['team', 'favorite', 'quidditch', 'what', 'rons']","['chudley', 'cannon']","['team', 'favorite', 'quidditch', 'what', 'rons', 'chudley', 'cannon']"
And what about his pet dragon?,Norbert,"['pet', 'dragon', 'what']",['norbert'],"['pet', 'dragon', 'what', 'norbert']"
The visitor’s entrance to the Ministry of Magic is an abandoned red telephone booth in London. What is the five-digit code you must dial to get in?,6-2-4-4-2. (Bonus: This spells M-A-G-I-C on a phone's keypad.),"['red', 'get', 'fivedigit', 'booth', 'entrance', 'london', 'must', 'abandon', 'magic', 'code', 'dial', 'telephone', 'what', 'visitor', 'ministry']","['spell', 'phone', 'bonus', 'magic', 'keypad']","['red', 'get', 'fivedigit', 'booth', 'entrance', 'london', 'must', 'abandon', 'magic', 'code', 'dial', 'telephone', 'what', 'visitor', 'ministry', 'spell', 'phone', 'bonus', 'magic', 'keypad']"
Which spell did Hermione use to release the dragon from Gringotts Bank?,Revulsion Jinx,"['which', 'spell', 'hermione', 'release', 'gringotts', 'bank', 'use', 'dragon']","['revulsion', 'jinx']","['which', 'spell', 'hermione', 'release', 'gringotts', 'bank', 'use', 'dragon', 'revulsion', 'jinx']"
What is the incantation for the Disarming Spell?,Expelliarmus,"['disarm', 'incantation', 'spell', 'what']",['expelliarmus'],"['disarm', 'incantation', 'spell', 'what', 'expelliarmus']"
What does the boggart turn into when Mrs. Weasley sees it?,Her entire family and Harry lying dead on the floor,"['boggart', 'weasley', 'see', 'turn', 'when', 'what', 'mr']","['entire', 'harry', 'floor', 'family', 'dead', 'lie']","['boggart', 'weasley', 'see', 'turn', 'when', 'what', 'mr', 'entire', 'harry', 'floor', 'family', 'dead', 'lie']"
"When Professor Snape takes over Professor Lupin’s Defense Against the Dark Arts class, which page does he ask the students to turn to?",Page 394 (the page on werewolves),"['which', 'snape', 'lupin', 'turn', 'professor', 'defense', 'art', 'when', 'ask', 'student', 'class', 'dark', 'page', 'take']","['page', 'werewolf']","['which', 'snape', 'lupin', 'turn', 'professor', 'defense', 'art', 'when', 'ask', 'student', 'class', 'dark', 'page', 'take', 'page', 'werewolf']"
Which dry ingredient is used in a wideye potion?,Billywig Sting,"['which', 'ingredient', 'potion', 'wideye', 'use', 'dry']","['sting', 'billywig']","['which', 'ingredient', 'potion', 'wideye', 'use', 'dry', 'sting', 'billywig']"
What did Fred and George Weasley call their joke shop?,Weasleys’ Wizard Wheezes,"['shop', 'george', 'call', 'weasley', 'joke', 'fred', 'what']","['weasleys', 'wheeze', 'wizard']","['shop', 'george', 'call', 'weasley', 'joke', 'fred', 'what', 'weasleys', 'wheeze', 'wizard']"
Which of these is not a cleaning spell?,Confrigo,"['which', 'spell', 'cleaning']",['confrigo'],"['which', 'spell', 'cleaning', 'confrigo']"
What became outlawed after the Warlock's Convention of 1709?,Dragon breeding.,"['outlawed', 'what', 'convention', 'warlock', 'become']","['breeding', 'dragon']","['outlawed', 'what', 'convention', 'warlock', 'become', 'breeding', 'dragon']"
Who is the Herbology professor?,Professor Sprout,"['who', 'professor', 'herbology']","['professor', 'sprout']","['who', 'professor', 'herbology', 'professor', 'sprout']"
What spell would you use to men a pair of glasses?,Reparo,"['spell', 'pair', 'use', 'what', 'men', 'glass', 'would']",['reparo'],"['spell', 'pair', 'use', 'what', 'men', 'glass', 'would', 'reparo']"
"Before Dumbledore, who was headmaster of Hogwarts?",Armando Dippet,"['who', 'dumbledore', 'headmaster', 'hogwarts']","['dippet', 'armando']","['who', 'dumbledore', 'headmaster', 'hogwarts', 'dippet', 'armando']"
What does it mean when a magical creature is classified as X by the Ministry of Magic?,Boring,"['when', 'magical', 'magic', 'classify', 'what', 'creature', 'mean', 'ministry']",['boring'],"['when', 'magical', 'magic', 'classify', 'what', 'creature', 'mean', 'ministry', 'boring']"
Which Wizarding school did Gellert Grindelwald attend?,Durmstrang Institute,"['which', 'gellert', 'grindelwald', 'school', 'wizarding', 'attend']","['durmstrang', 'institute']","['which', 'gellert', 'grindelwald', 'school', 'wizarding', 'attend', 'durmstrang', 'institute']"
What is the cure for being Petrified?,Mandrake root,"['cure', 'petrify', 'what']","['root', 'mandrake']","['cure', 'petrify', 'what', 'root', 'mandrake']"
What is the biggest Quidditch event?,World Cup,"['big', 'event', 'quidditch', 'what']","['world', 'cup']","['big', 'event', 'quidditch', 'what', 'world', 'cup']"
What is the Grim?,A spectral dog,"['grim', 'what']","['dog', 'spectral']","['grim', 'what', 'dog', 'spectral']"
Colovaria is also known as what?,Colour Change Charm,"['colovaria', 'also', 'know', 'what']","['colour', 'change', 'charm']","['colovaria', 'also', 'know', 'what', 'colour', 'change', 'charm']"
Where was Harry Potter born?,Godric's Hollow.,"['potter', 'where', 'harry', 'bear']","['hollow', 'godrics']","['potter', 'where', 'harry', 'bear', 'hollow', 'godrics']"
How can you tell if a door is Imperturbable?,Chuck stuff at it.,"['how', 'imperturbable', 'door', 'tell']","['chuck', 'stuff']","['how', 'imperturbable', 'door', 'tell', 'chuck', 'stuff']"
Which potion contains Fluxweed?,Polyjuice Potion,"['which', 'potion', 'contains', 'fluxweed']","['polyjuice', 'potion']","['which', 'potion', 'contains', 'fluxweed', 'polyjuice', 'potion']"
What was Gilderoy Lockhart's best Spell?,Obliviate,"['spell', 'lockharts', 'what', 'best', 'gilderoy']",['obliviate'],"['spell', 'lockharts', 'what', 'best', 'gilderoy', 'obliviate']"
What other name is the Doxy commonly known by?,The Biting Fairy.,"['doxy', 'what', 'commonly', 'know', 'name']","['fairy', 'bite']","['doxy', 'what', 'commonly', 'know', 'name', 'fairy', 'bite']"
Which potion is commonly featured in Muggle fairy tales?,Draught of Living Death,"['which', 'potion', 'fairy', 'muggle', 'feature', 'commonly', 'tale']","['draught', 'live', 'death']","['which', 'potion', 'fairy', 'muggle', 'feature', 'commonly', 'tale', 'draught', 'live', 'death']"
Which was the last of Voldemort's Horcruxes to be destroyed?,Nagini,"['which', 'last', 'destroyed', 'horcruxes', 'voldemorts']",['nagini'],"['which', 'last', 'destroyed', 'horcruxes', 'voldemorts', 'nagini']"
Which scent attracts Hermione Granger?,"Freshly mown grass, mint toothpaste, and fresh parchment","['which', 'hermione', 'attract', 'scent', 'granger']","['parchment', 'mown', 'freshly', 'fresh', 'mint', 'grass', 'toothpaste']","['which', 'hermione', 'attract', 'scent', 'granger', 'parchment', 'mown', 'freshly', 'fresh', 'mint', 'grass', 'toothpaste']"
What teleportation magic do sixth-years learn at Hogwarts?,Apparition,"['teleportation', 'magic', 'learn', 'sixthyears', 'what', 'hogwarts']",['apparition'],"['teleportation', 'magic', 'learn', 'sixthyears', 'what', 'hogwarts', 'apparition']"
What effect does diluted Swooping Evil venom have?,Erases bad memories,"['dilute', 'effect', 'evil', 'venom', 'swoop', 'what']","['erases', 'bad', 'memory']","['dilute', 'effect', 'evil', 'venom', 'swoop', 'what', 'erases', 'bad', 'memory']"
What does the house with the highest score win?,House Cup,"['high', 'house', 'win', 'score', 'what']","['house', 'cup']","['high', 'house', 'win', 'score', 'what', 'house', 'cup']"
What is Hermione's cat's name?,Crookshanks,"['hermiones', 'cat', 'name', 'what']",['crookshanks'],"['hermiones', 'cat', 'name', 'what', 'crookshanks']"
Who removes all the bones from Harry’s arm?,Gilderoy Lockhart,"['remove', 'arm', 'who', 'harrys', 'bone']","['lockhart', 'gilderoy']","['remove', 'arm', 'who', 'harrys', 'bone', 'lockhart', 'gilderoy']"
Which was my Tonks favourite band?,The Weird Sisters,"['which', 'band', 'favourite', 'tonks']","['weird', 'sister']","['which', 'band', 'favourite', 'tonks', 'weird', 'sister']"
How many players are on a Quidditch team?,7,"['team', 'many', 'how', 'quidditch', 'player']",[],"['team', 'many', 'how', 'quidditch', 'player']"
